threshold	TP	FP	TN	FN
0.05	74108553	178335462	2378248235	2168984
0.1	71375961	102513390	2454070307	4901576
0.15	68610663	68442067	2488141630	7666874
0.2	65702951	48386926	2508196771	10574586
0.25	62787561	35252311	2521331386	13489976
0.3	59860620	26127384	2530456313	16416917
0.35	56917320	19491168	2537092529	19360217
0.4	53951437	14507032	2542076665	22326100
0.45	50944072	10700529	2545883168	25333465
0.5	47922251	7759767	2548823930	28355286
0.55	44877971	5571682	2551012015	31399566
0.6	41760281	3901007	2552682690	34517256
0.65	38493859	2658111	2553925586	37783678
0.7	35257056	1738737	2554844960	41020481
0.75	31971712	1082457	2555501240	44305825
0.8	28641850	634132	2555949565	47635687
0.85	25152755	346316	2556237381	51124782
0.9	21465569	175020	2556408677	54811968
0.95	17245940	82156	2556501541	59031597
