LN1203	DS7748	GM06990
LN1207	DS7764	HepG2
LN1222	DS7840	hTH1
LN1264	DS8200	Hela
LN1269	DS8235	CACO2
LN1289	DS8416	CACO2
LN1310	DS8476	SKNSH
LN1312	DS8482	SKNSH
LN1376	DS8680	HMEC
LN1614	DS9432	GM12878
LN1615	DS9445	MCF7
LN1684	DS9764	K562
LN1691	DS9767	K562
LN1753	DS9873	PANC1
LN1782	DS9955	PANC1
LN1789	DS10011	HeLaS3
LN1791	DS10018	BJ
LN1812	DS10060	HUVEC
LN1816	DS10081	BJ
LN1835	DS10167	HESC
LN1924	DS10514	SAEC
LN1926	DS10518	SAEC
LN1951	DS10631	HRE
LN1953	DS10641	HRE
LN1958	DS10662	HRCE
LN1959	DS10666	HRCE
LN1960	DS10671	GM12878
LN1963	DS10681	Jurkat
LN2044	DS11039	hTH17
LN2098	DS11202	CD34
LN2188	DS11474	NHEK
LN2190	DS11476	NHEK
LN2272	DS11637	HConF
LN2275	DS11642	HConF
LN2281	DS11666	CD34
LN2302	DS11733	HL60
LN2304	DS11738	HGF
LN2307	DS11752	HGF
LN2308	DS11759	IMR90
LN2309	DS11764	IMR90
LN2328	DS11809	HL60
LN2329	DS11814	H7_hESC_T14
LN2346	DS11872	fBrain
LN2347	DS11877	fBrain
LN2365	DS11909	hESCT0
LN2367	DS11918	NHDF_Neo
LN2368	DS11923	NHDF_Neo
LN2371	DS11939	SkMC
LN2375	DS11953	H7_hESC_T5
LN2376	DS11959	NHBE_RA
LN2378	DS11969	NHBE_RA
LN2417	DS12088	PrEC
LN2419	DS12098	PrEC
LN2425	DS12147	H7_hESC_T14
LN2478	DS12255	AG04450
LN2481	DS12270	AG04450
LN2482	DS12274	CD34
LN2485	DS12286	AG09319
LN2486	DS12291	AG09319
LN2488	DS12319	AG04449
LN2489	DS12329	AG04449
LN2491	DS12336	CD34
LN2492	DS12339	CD34
LN2494	DS12352	AG09309
LN2495	DS12357	AG09309
LN2497	DS12374	AG10803
LN2500	DS12384	AG10803
LN2503	DS12393	CMK
LN2527	DS12431	GM12864
LN2528	DS12436	GM12865
LN2529	DS12442	GM12865
LN2530	DS12447	HCPEpiC
LN2532	DS12457	HCPEpiC
LN2534	DS12467	HNPCEpiC
