tissue_culture	tissue_culture_notes	tissue_culture_extra	sample_number	sample_status	sample_assay	sample_prep_date	sample_timepoint	sample_extra	sample_notes	library_number	library_finish_date	library_pcr_cycles	aggregation	date_completed	project	sample_taxonomy	genome_index	sample_factors	treatment	donor	dnase_units	nuclei_count	total_reads	mapping_nuclear	mapping_non_nuclear	non_mapping_adapter	non_mapping_other	hotspot1_SPOT	hotspot2_SPOT	number_hotspots	genomic_area_hotspots	dhsindex_WM20180608b_differential_peaks	dup_rate	preseq_est_max	adapter_trimmed	umi_method	quality_classification	warnings	median_insert_size	insert_ls_ratio	library_ls_ratio	insert_fourier_transform_11	all-alignments-bam	bam-index	cutcounts-bw	cutcounts-starch	cutcounts-tabix-bgz	density-bed-starch-windowed	density-bigwig-windowed	density-tabix-bgz	fragments-starch	hotspot-calls	hotspot-calls-1per	hotspot-calls-point1per	hotspot-peaks	hotspot-peaks-1per	hotspot-peaks-point1per	hotspot-per-base	mm-density-bed-starch-windowed	mm-density-bigwig-windowed	normalized-density-bed-starch	normalized-density-bigwig-windowed	normalized-density-tabix-bgz	normalized-mm-density-bed-starch	normalized-mm-density-bigwig-windowed
TC9473	None	"Astrios sorted from CD4 cells, derived from leukopak (CD3+ CD4+ CD161+ CD196+ CD194+)"	DS72548	Hold 4C	DHS-nano	4/24/19	None	None	None	LN56405	5/10/19	7	AG25997	4/10/20	Immunopedia	h.CD4.Th17	GRCh38_no_alts	None	None	Allcells 8220	120	230000	115941472	93627882	539329	2097910	19676351	0.4983	0.3636	48024	19397371	541	29.12%	98222838	91842986	None	Analysis ready	None	55	0.0401	0.092807954	0.4595	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/density.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/density.bw	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN56405/aggregation-25997/output_2.5.1/normalized.mm_density.bw
TC9546	None	"flow sorted, anticoagulated with citrate"	DS72764	Hold 4C	DHS-pseudonano	5/7/19	None	"flow sorted, anti-coagulated with citrate"	None	LN56567	5/16/19	7	AG25764	3/29/20	Immunopedia	h.CD8.memory.effector	GRCh38_no_alts	None	None	Allcells 8220	100	770000	122194670	100737696	1724194	344810	19387970	0.5855	0.536	53536	24202819	358	28.60%	124536466	78112294	None	Analysis ready	None	66	0.047	0.26038027	0.2092	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/density.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/density.bw	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN56567/aggregation-25764/output_2.5.1/normalized.mm_density.bw
TC9540	None	Flow sorted	DS72747	Hold 4C	DHS-pseudonano	5/5/19	None	"flow sorted, anticoagulated with citrate"	None	LN56474	5/13/19	9	AG25765	3/29/20	Immunopedia	h.CD4.Treg	GRCh38_no_alts	None	None	Allcells 9888	80	450000	124166930	102624368	2647421	588513	18306628	0.5691	0.5128	48493	21871738	296	32.82%	93739447	81718936	None	Analysis ready	None	64	0.054	0.164565627	0.165	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/density.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/density.bw	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN56474/aggregation-25765/output_2.5.1/normalized.mm_density.bw
TC10530	None	None	DS74927	Hold 4C	DHS-pseudonano	10/7/19	0.00 hour	"from frozen cells, Time 0"	None	LN58334	10/14/19	10	AG25747	3/29/20	Immunostimulants Phase Three	h.CD4+	GRCh38_no_alts	None	None	Allcells 15824	80	500000	140518626	115890274	4170238	581271	19876843	0.564	0.5088	64473	25685348	376	33.19%	107693627	78241252	None	Analysis ready	None	71	0.2014	0.722607238	0.0374	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58334/aggregation-25747/output_2.5.1/normalized.mm_density.bw
TC10614	None	Isolated from frozen PBMC cultured overnight.  Used stemcell 17952 kit for isolation.	DS75177	Hold 4C	DHS-pseudonano	10/14/19	0.00 hour	"Time point 0, non activated h.CD4+"	None	LN58698	10/29/19	10	AG25745	3/29/20	Immunostimulants Phase Three	h.CD4+	GRCh38_no_alts	None	None	Allcells 6054	100	1100000	84974098	69535454	1305807	396782	13736055	0.4987	0.4003	52946	20378863	254	24.12%	100266821	60773230	None	Analysis ready	None	61	0.0303	0.100840336	0.07	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58698/aggregation-25745/output_2.5.1/normalized.mm_density.bw
TC10726	None	"From frozen, Bead purify from PBMC using Stemcell 17952 kit"	DS75383	Hold 4C	DHS-pseudonano	10/21/19	0.00 hour	"h.CD4+, Time 0 hr"	None	LN58712	10/29/19	9	AG25744	3/29/20	Immunostimulants Phase Three	h.CD4+	GRCh38_no_alts	None	None	Allcells 13168	120	1320000	63801358	52108604	535021	180646	10977087	0.4191	0.3102	50159	18863936	194	16.96%	121165874	36113980	None	Analysis ready	None	69	0.0718	0.261163243	0.4389	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58712/aggregation-25744/output_2.5.1/normalized.mm_density.bw
TC10152	None	None	DS74173	Hold 4C	DHS-pseudonano	8/27/19	None	None	None	LN57777	9/5/19	9	AG25880	3/21/20	Immunopedia	h.CD4.effector	GRCh38_no_alts	None	None	Allcells 12375	100	310000	131758374	106968996	1857376	981310	21950692	0.4542	0.3583	55737	22526136	331	38.32%	77213007	99025538	None	Analysis ready	None	59	0.0217	0.152182402	0.2052	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/density.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/density.bw	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN57777/aggregation-25880/output_2.5.1/normalized.mm_density.bw
TC9616	None	"flow sorted, anticoagulated with citrate"	DS72816	Hold 4C	DHS-pseudonano	5/8/19	None	"flow sorted, anti-coaguated with citrate"	None	LN56569	5/16/19	8	AG25882	3/21/20	Immunopedia	h.CD4.Treg	GRCh38_no_alts	None	None	Allcells 8220	100	250000	78359294	63527612	758948	214413	13858321	0.3727	0.2381	35825	13951169	174	24.75%	87895017	39547872	None	Analysis ready	None	73	0.1649	0.423367032	0.4247	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/density.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/density.bw	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN56569/aggregation-25882/output_2.5.1/normalized.mm_density.bw
TC9481	None	CD4 from leukopak. Astrios sorted subtype (CD3+ CD4+ CD183+ CD195+)	DS72611	Hold 4C	DHS-pseudonano	4/26/19	None	None	None	LN56417	5/10/19	7	AG25884	3/21/20	Immunopedia	h.CD4.Th1	GRCh38_no_alts	None	None	Allcells 10876	100	910000	98095142	77897608	2125541	1935391	16136602	0.6541	0.6005	53576	22786501	366	26.47%	118918298	76088320	None	Analysis ready	None	56	0.0345	0.087080047	0.1795	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/density.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/density.bw	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN56417/aggregation-25884/output_2.5.1/normalized.mm_density.bw
TC10340	None	None	DS74587	Hold 4C	DHS-pseudonano	9/25/19	0.00 hour	0 hr	None	LN58057	10/2/19	8	AG22441	1/21/20	Immunostimulants Phase Three	h.CD4+	GRCh38_no_alts	None	None	Allcells 6054	120	680000	78944790	67234720	741995	102878	10865197	0.5061	0.4004	50268	25022448	424	15.68%	164592979	23337010	None	Screening	Digestion index > 0.75	96	0.7003	0.886278508	0.9921	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/marked.bam	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/marked.bam.bai	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/cutcounts.bw	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/cutcounts.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/cutcounts.bed.bgz	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/density.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/density.bw	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/density.bgz	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/fragments.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.hotspots.fdr0.05.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.hotspots.fdr0.01.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.hotspots.fdr0.001.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.peaks.fdr0.05.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.peaks.fdr0.01.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.peaks.fdr0.001.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/peaks/nuclear.allcalls.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/mm_density.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/mm_density.bw	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/normalized.density.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/normalized.density.bw	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/normalized.density.bgz	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/normalized.mm_density.starch	/net/seq/data/aggregations/LN58057/aggregation-22441/output_2.5.1/normalized.mm_density.bw
