gene	biotype	chr	start	end	strand
TSPAN6	protein_coding	X	100627109	100639991	-
TNMD	protein_coding	X	100584802	100599885	+
DPM1	protein_coding	20	50934867	50958555	-
SCYL3	protein_coding	1	169849631	169894267	-
C1orf112	protein_coding	1	169662007	169854080	+
FGR	protein_coding	1	27612064	27635277	-
CFH	protein_coding	1	196651878	196747504	+
FUCA2	protein_coding	6	143494811	143511690	-
GCLC	protein_coding	6	53497341	53616970	-
NFYA	protein_coding	6	41072945	41099976	+
STPG1	protein_coding	1	24356999	24416934	-
NIPAL3	protein_coding	1	24415794	24472976	+
LAS1L	protein_coding	X	65512582	65534775	-
ENPP4	protein_coding	6	46129993	46146699	+
SEMA3F	protein_coding	3	50155045	50189075	+
CFTR	protein_coding	7	117465784	117715971	+
ANKIB1	protein_coding	7	92246234	92401384	+
CYP51A1	protein_coding	7	92112151	92142952	-
KRIT1	protein_coding	7	92198969	92246166	-
RAD52	protein_coding	12	912077	990053	-
MYH16	transcribed_unitary_pseudogene	7	99238829	99311130	+
BAD	protein_coding	11	64269830	64284704	-
LAP3	protein_coding	4	17577192	17607972	+
CD99	protein_coding	X	2691133	2741309	+
HS3ST1	protein_coding	4	11393150	11429765	-
AOC1	protein_coding	7	150824627	150861504	+
WNT16	protein_coding	7	121325367	121341104	+
HECW1	protein_coding	7	43112599	43566001	+
MAD1L1	protein_coding	7	1815793	2233243	-
LASP1	protein_coding	17	38869859	38921770	+
SNX11	protein_coding	17	48103357	48123074	+
TMEM176A	protein_coding	7	150800403	150805120	+
M6PR	protein_coding	12	8940363	8949955	-
KLHL13	protein_coding	X	117897813	118117340	-
CYP26B1	protein_coding	2	72129238	72148038	-
ICA1	protein_coding	7	8113184	8262687	-
DBNDD1	protein_coding	16	90004865	90020128	-
ALS2	protein_coding	2	201700554	201781189	-
CASP10	protein_coding	2	201182881	201229406	+
CFLAR	protein_coding	2	201116104	201176687	+
TFPI	protein_coding	2	187464230	187565760	-
NDUFAF7	protein_coding	2	37231631	37253403	+
RBM5	protein_coding	3	50088908	50119021	+
MTMR7	protein_coding	8	17298030	17413528	-
SLC7A2	protein_coding	8	17497088	17570573	+
ARF5	protein_coding	7	127588345	127591705	+
SARM1	protein_coding	17	28364356	28404049	+
POLDIP2	protein_coding	17	28347177	28357522	-
PLXND1	protein_coding	3	129555175	129606818	-
AK2	protein_coding	1	33007940	33080996	-
CD38	protein_coding	4	15778275	15853230	+
FKBP4	protein_coding	12	2794953	2805423	+
KDM1A	protein_coding	1	23019443	23083689	+
RBM6	protein_coding	3	49940007	50100045	+
CAMKK1	protein_coding	17	3860315	3894891	-
RECQL	protein_coding	12	21468911	21501669	-
VPS50	protein_coding	7	93232340	93361121	+
HSPB6	protein_coding	19	35754569	35758079	-
ARHGAP33	protein_coding	19	35774532	35788822	+
NDUFAB1	protein_coding	16	23581002	23596356	-
PDK4	protein_coding	7	95583499	95596491	-
SLC22A16	protein_coding	6	110424687	110476641	-
ZMYND10	protein_coding	3	50341110	50346852	-
ABCB5	protein_coding	7	20615207	20777038	+
ARX	protein_coding	X	25003694	25016420	-
SLC25A13	protein_coding	7	96120220	96322147	-
ST7	protein_coding	7	116953238	117230103	+
CDC27	protein_coding	17	47117703	47189422	-
SLC4A1	protein_coding	17	44248385	44268141	-
CALCR	protein_coding	7	93424487	93574730	-
HCCS	protein_coding	X	11111301	11123078	+
DVL2	protein_coding	17	7225341	7234545	-
PRSS22	protein_coding	16	2852727	2858170	-
UPF1	protein_coding	19	18831938	18868236	+
SKAP2	protein_coding	7	26667062	26995239	-
SLC25A5	protein_coding	X	119468400	119471319	+
MCUB	protein_coding	4	109560205	109688726	+
HOXA11	protein_coding	7	27181510	27185223	-
POLR2J	protein_coding	7	102473118	102478907	-
DHX33	protein_coding	17	5440912	5469060	-
MEOX1	protein_coding	17	43640388	43661954	-
THSD7A	protein_coding	7	11370357	11832198	-
LIG3	protein_coding	17	34980494	35009743	+
RPAP3	protein_coding	12	47661249	47706061	-
ACSM3	protein_coding	16	20610243	20797581	+
REXO5	protein_coding	16	20806429	20849668	+
CIAPIN1	protein_coding	16	57428169	57447528	-
SPPL2B	protein_coding	19	2328615	2354806	+
FAM214B	protein_coding	9	35104112	35116341	-
COPZ2	protein_coding	17	48026167	48038030	-
PRKAR2B	protein_coding	7	107044649	107161811	+
MSL3	protein_coding	X	11758159	11775753	+
CREBBP	protein_coding	16	3725054	3880726	-
TSPOAP1	protein_coding	17	58301228	58328760	-
MPO	protein_coding	17	58269856	58280935	-
PON1	protein_coding	7	95297676	95324707	-
GCFC2	protein_coding	2	75652000	75710989	-
WDR54	protein_coding	2	74421678	74425755	+
CROT	protein_coding	7	87345681	87399795	+
ABCB4	protein_coding	7	87401697	87480435	-
KMT2E	protein_coding	7	105014179	105114361	+
RHBDD2	protein_coding	7	75842602	75888926	+
SOX8	protein_coding	16	981808	986979	+
IBTK	protein_coding	6	82169983	82247754	-
ZNF195	protein_coding	11	3339261	3379222	-
MYCBP2	protein_coding	13	77044655	77327050	-
